No,Pairing Name,Display Font,Text Font,Mono Font,Register,Best For,Avoid For,Mood Keywords,Google Fonts URL,Notes
1,Precise Grotesque,Manrope,Inter,JetBrains Mono,neutral grotesque,"B2B tools, admin, dashboards, docs","editorial long reads, luxury","precise, adult, quiet, technical",https://fonts.google.com/specimen/Manrope,Manrope 600 carries display sizes with tracking -0.02em. Inter for text. Both ship full Cyrillic.
2,Modern Russian Grotesque,Onest,Inter,JetBrains Mono,neutral grotesque,"fintech, health, government, forms","nightlife, gaming","calm, careful, contemporary",https://fonts.google.com/specimen/Onest,Designed with Cyrillic first. Strong for Russian interface copy.
3,Golos Interface,Golos Text,Golos Text,JetBrains Mono,neutral grotesque,"public services, media, civic, product UI","showy landing pages","plain, legible, institutional",https://fonts.google.com/specimen/Golos+Text,One family across display and text. Excellent at small sizes in Russian.
4,Editorial Classic,Playfair Display,PT Serif,IBM Plex Mono,high contrast serif,"long reads, manifestos, culture, publishing","dense dashboards, developer tools","authored, literate, considered",https://fonts.google.com/specimen/Playfair+Display,Playfair only above 32px. PT Serif is one of the strongest Cyrillic text serifs.
5,Warm Reader,Lora,Golos Text,Fira Code,transitional serif,"food, wellness, retreats, essays","high frequency tools","grown, unhurried, warm",https://fonts.google.com/specimen/Lora,Lora for headings, Golos Text for body. Comfortable at 18px.
6,Quiet Luxury,Cormorant Garamond,Golos Text,IBM Plex Mono,old style serif,"jewellery, real estate, hospitality, portfolio","forms, data tables","restrained, expensive, spacious",https://fonts.google.com/specimen/Cormorant+Garamond,Cormorant needs size and air. Never below 28px for display.
7,Signal Condensed,Oswald,Inter,JetBrains Mono,condensed sans,"sport, logistics, hardware, construction","wellness, luxury","rugged, loud, direct",https://fonts.google.com/specimen/Oswald,Oswald for short claims only. Never for paragraphs.
8,Solar Display,Unbounded,Nunito Sans,Fira Code,geometric display,"consumer apps, education, community, events","enterprise security, finance","friendly, energetic, current",https://fonts.google.com/specimen/Unbounded,Strong Cyrillic display face. Use one weight only.
9,Plex System,IBM Plex Serif,IBM Plex Sans,IBM Plex Mono,institutional,"documentation, research, enterprise, technical writing","playful consumer","engineered, honest, systematic",https://fonts.google.com/specimen/IBM+Plex+Sans,One superfamily covers display, text and mono. Cyrillic across all three.
10,PT Pair,PT Serif,PT Sans,Source Code Pro,humanist,"government, education, print to web, archives","trend driven landing pages","public, sober, readable",https://fonts.google.com/specimen/PT+Serif,Designed for Cyrillic legibility. Very safe default for Russian.
11,Prata Editorial,Prata,Inter,JetBrains Mono,didone serif,"fashion, beauty, culture, magazines","dashboards, developer tools","elegant, printed, dramatic",https://fonts.google.com/specimen/Prata,Single weight only. Use large with tight tracking.
12,Gallery Quiet,Tenor Sans,Inter,IBM Plex Mono,wide sans,"portfolio, photography, showcase, galleries","data heavy products","airy, gallery, understated",https://fonts.google.com/specimen/Tenor+Sans,One weight. Let the work lead, keep captions small.
13,Fira Technical,Fira Sans,Fira Sans,Fira Code,humanist sans,"developer tools, open source, documentation","luxury retail","open, engineered, friendly",https://fonts.google.com/specimen/Fira+Sans,Fira Sans Condensed for tables, Fira Code for values.
14,Ubuntu Product,Ubuntu,Ubuntu,Ubuntu Mono,humanist sans,"internal tools, infrastructure, admin","editorial","pragmatic, rounded, systemic",https://fonts.google.com/specimen/Ubuntu,Distinctive without being loud. Full Cyrillic.
15,Rubik Product,Rubik,Rubik,JetBrains Mono,geometric sans,"consumer product, marketplace, mobile web","formal institutions","approachable, modern, clear",https://fonts.google.com/specimen/Rubik,Slight rounding gives warmth without cartoon.
16,Noto Universal,Noto Serif,Noto Sans,Noto Sans Mono,universal,"multilingual products, documentation, i18n heavy","strong brand voice","neutral, universal, safe",https://fonts.google.com/specimen/Noto+Sans,The fallback when the copy mixes many scripts.
17,Alegreya Long Form,Alegreya,Alegreya Sans,Source Code Pro,calligraphic serif,"books, journals, essays, education","dense UI screens","literary, humane, warm",https://fonts.google.com/specimen/Alegreya,Excellent for extended reading. Cyrillic in both families.
18,Bitter Slab,Bitter,Inter,JetBrains Mono,slab serif,"news, blogs, changelogs, technical writing","luxury","sturdy, plain spoken, current",https://fonts.google.com/specimen/Bitter,Slab display with a neutral text face underneath.
19,Vollkorn Editorial,Vollkorn,Inter,IBM Plex Mono,old style serif,"long reads, non profit, culture","fast moving consumer apps","solid, printed, honest",https://fonts.google.com/specimen/Vollkorn,Generous x height. Reads well at 18px to 19px.
20,Merriweather Reader,Merriweather,Inter,Fira Code,transitional serif,"blogs, documentation, knowledge bases","minimal galleries","reliable, screen first, readable",https://fonts.google.com/specimen/Merriweather,Designed for screens. Keep tracking tight at display sizes.
21,Nunito Friendly,Nunito Sans,Nunito Sans,Fira Code,rounded sans,"education, children, community, consumer health","enterprise, finance","friendly, soft, accessible",https://fonts.google.com/specimen/Nunito+Sans,High legibility at large sizes. Avoid thin weights.
22,Yeseva Statement,Yeseva One,Golos Text,JetBrains Mono,display serif,"restaurants, events, culture, launches","anything with dense data","decorative, festive, singular",https://fonts.google.com/specimen/Yeseva+One,One weight, display only, never below 36px.
23,Roboto Utility,Roboto,Roboto,Roboto Mono,neutral sans,"Android products, internal tools, legacy systems","distinct brand voice","invisible, default, functional",https://fonts.google.com/specimen/Roboto,Use when neutrality is the brief. Not a design decision on its own.
24,Open Sans Institutional,Open Sans,Open Sans,Source Code Pro,humanist sans,"government, banking, forms, intranets","fashion, culture","institutional, safe, plain",https://fonts.google.com/specimen/Open+Sans,Very safe. Add character through layout, not type.
25,Comfortaa Soft,Comfortaa,Nunito Sans,Fira Code,rounded display,"kids products, wellness apps, small consumer brands","finance, security, enterprise","soft, playful, light",https://fonts.google.com/specimen/Comfortaa,Display only. Never for body copy.
26,Mono First,JetBrains Mono,Inter,JetBrains Mono,monospace led,"developer tools, terminals, CLI docs, analytics","consumer retail, hospitality","technical, precise, engineered",https://fonts.google.com/specimen/JetBrains+Mono,Mono as the display voice, Inter for reading comfort.
